year,country,"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, tertiary (% gross)",Internet Users(%),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
2017,CHL,80.35,1.56205545588869,88.4644165039063,82.32748413,15045.5278507601,2.18271846868523
2016,CHL,80.079,1.18906102612278,87.1881408691406,83.55858612,13785.6875977318,3.78619355893115
2015,CHL,79.746,1.02942555374852,85.2667236328125,76.6295929,13569.9481274733,4.3487735321705
2014,CHL,79.473,1.00681495918115,82.8463821411133,61.11000061,14666.3431168586,4.71867527854671
2013,CHL,79.339,0.964976309009339,79.9562911987305,58.0,15833.2759194461,1.78955553984587
2012,CHL,79.023,0.974635115583974,75.9310684204102,55.04999924,15406.4928361503,3.00744840213049
2020,BRA,74.009,0.665176682246802,54.5727996826172,81.34269714,6923.70019715065,3.21176803803379
2019,BRA,75.338,0.766107802084815,55.1362991333008,73.91243744,8845.3239312417,3.73297621216894
2018,BRA,75.109,0.793768153848091,53.2573509216309,70.4342804,9121.02009249958,3.66485028376724
2017,BRA,74.827,0.79226340042227,51.5707092285156,67.47128296,9896.7175109967,3.44637335032672
2016,BRA,74.442,0.8112564782781,50.734489440918,60.87253952,8680.73542054827,8.73914352329393
2015,BRA,74.332,0.845992601345206,51.3200416564941,58.32795334,8783.21441310718,9.02990102416129
