country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Urban population (% of total population),Rural population (% of total population),Population growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GNI (current US$),Military expenditure (% of GDP),General government final consumption expenditure (current US$),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP),"School enrollment, tertiary (% gross)"
ITA,2002,83.2,80.2292682926829,77.4,67.382,32.618,0.148916429490753,2.46532319171164,3.27434188043023,1276769338449.3,22376.2978989329,0.104759513559856,1271074053343.3,1.7061872461629,236789626763.53,100.0,6.71920408796364,109.62,59.1257572899538,55.5517883300781
ITA,2001,83.2,80.1268292682927,77.2,67.282,32.718,0.0561676014374784,2.78516542713555,3.03359202588445,1168023426056.38,20500.9543995672,1.89412399481279,1164448341671.22,1.67936473768145,214914365803.544,100.0,6.30928570463428,112.89,59.4935899362705,52.877311706543
ITA,2000,82.8,79.7780487804878,76.9,67.222,32.778,0.045303631138613,2.53768532095005,1.79239796601405,1146676894209.73,20137.5912217673,3.73994653301939,1142299340172.39,1.74105950432123,203374865231.373,100.0,6.10286142369075,115.2,60.5495279187192,49.8112716674805
ITA,1999,82.6,79.4243902439024,76.4,67.162,32.838,0.0168208444553697,1.66345995007714,1.5361284470883,1252446659833.79,22005.0545405773,1.60863473141113,1250007310699.89,1.68329979808882,219769498210.811,100.0,6.70149692274786,119.0,60.4389824443613,48.5550804138184
ITA,1998,82.1,78.9756097560976,76.0,67.102,32.898,0.0287740158774372,1.95508557719383,2.40262167809806,1270052525928.4,22318.1373007109,1.78132437367471,1263071038251.37,1.64450887913205,222620720419.315,100.0,6.42098352429165,111.31,59.7038818161487,48.3126487731934
ITA,1997,82.0,78.8243902439024,75.8,67.042,32.958,0.05290695026061,2.04310779750133,2.56737468974622,1241879604365.62,21829.3458226222,1.77635122351289,1236195088676.67,1.62669279946621,219599818099.136,100.0,6.38293578054925,110.99,59.1043791257677,46.8524589538574
ITA,1996,81.8,78.5219512195122,75.4,66.982,33.018,0.0281044080072756,4.00697668981039,4.5076232078974,1312426527795.21,23081.6046757702,1.23832837048366,1299725812523.53,1.58849227935037,231203413226.252,100.0,6.56459755242407,113.06,58.4977598134075,42.3377914428711
ITA,1995,81.5,78.1707317073171,75.0,66.922,33.078,0.00158856230917393,5.23542258044299,4.92524449399963,1174662070605.02,20664.5522701724,2.88520235071749,1160406751456.08,1.46784314334637,204799714727.208,100.0,6.55805885545885,110.07,58.8624541003672,41.478889465332
ITA,1994,81.2,77.9219512195122,74.8,66.862,33.138,0.0203720739457194,4.0518421806572,3.54247357636952,1099216688280.5,19337.6308996383,2.1302154755529,1082154302353.51,1.71374275955101,205465022814.601,100.0,6.74156140471924,110.89,59.003732329879,40.0616607666016
ITA,1993,81.0,77.7219512195122,74.6,66.802,33.198,0.061135853002924,4.62673468331293,3.88595185807743,1064958075550.63,18738.7638969132,-0.913401721941298,1049906464870.19,1.7867679733127,206414547803.618,100.0,6.88456802085809,111.84,58.4884507949165,35.9851608276367
ITA,1992,80.8,77.419512195122,74.2,66.742,33.258,0.0679244330808808,5.27058998592932,4.36811548625116,1320161644933.23,23243.4745277206,0.765807599435163,1298792413197.17,1.75197698347487,257832974076.984,100.0,7.07669642335136,114.82,58.9703298336956,33.8049697875977
ITA,1991,80.4,77.0195121951219,73.8,66.706,33.294,0.0692311889532843,6.24999929790291,7.58132868312238,1246220156079.29,21956.5297707332,1.46817561113606,1228446297799.28,1.85885268375554,245398546901.826,100.0,6.88659443927687,113.58,58.0119158735372,31.7643795013428
ITA,1990,80.3,76.9707317073171,73.8,66.726,33.274,0.0837085729587984,6.45660906146405,8.91406346285557,1181222653522.95,20825.7842228307,1.90043982743266,1166755021008.4,1.8807984132592,231555578539.108,100.0,6.31123035229127,105.3,57.73547408665,29.5391807556152
