country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Urban population (% of total population),Rural population (% of total population),Population growth (annual %),"Inflation, consumer prices (annual %)",Gini index,"Inflation, GDP deflator (annual %)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GNI (current US$),Current health expenditure (% of GDP),"Hospital beds (per 1,000 people)",Domestic private health expenditure per capita (current US$),Current health expenditure per capita (current US$),"Mortality caused by road traffic injury (per 100,000 population)",People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),"Literacy rate, adult total (% of people ages 15 and above)",Control of Corruption: Estimate,Military expenditure (% of GDP),General government final consumption expenditure (current US$),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP),"School enrollment, tertiary (gross), gender parity index (GPI)","School enrollment, tertiary (% gross)",Internet Users(%)
AUS,1993,80.9,77.8780487804878,75.0,85.157,14.843,0.889539825558206,1.75365344467641,,0.865919519598023,312138139404.16,17700.1155557894,3.1259863420148,303828695896.571,,8.8999996185,,,,,,,,2.17802988646311,60479201798.7634,100.0,22.4197828929998,67.19,57.7255281551431,0.988810002803802,65.5642166137695,1.974611044
AUS,1992,80.4,77.3780487804878,74.5,85.285,14.715,1.11959770147047,1.01223112610711,,1.47889530805433,325532426233.227,18624.5908924368,-0.689506014930075,312976837992.844,,8.8999996185,,,,,,,,2.16874608012627,63464707115.1025,100.0,20.2839560279395,63.04,58.4083215013856,1.15822994709015,39.7008399963379,1.768764853
AUS,1991,80.4,77.2756097560976,74.3,85.403,14.597,1.2746217855676,3.17667536988686,,3.02172655478618,325981640935.417,18860.2731986567,-1.6447530474528,312887906366.809,,9.1999998093,,,,,,,,2.16804285831077,60735212842.8428,100.0,19.4567024709607,63.4,56.6858477392016,1.15384995937347,38.3134689331055,1.097203851
AUS,1990,80.16,76.9946341463415,73.98,85.433,14.567,1.48004693689661,7.33302195235869,,6.0968483152253,311430632641.087,18249.533940858,2.05479381137212,300584257558.123,,,,,,,,,,2.07590585971773,54940602726.0223,100.0,21.1184923002457,63.13,54.6841179319411,1.13350999355316,35.3595504760742,0.58509469
AUS,1989,79.92,76.7136585365854,73.66,85.463,14.537,1.69287969389346,7.53390256152692,33.2,9.23377511261172,299875825286.858,17834.4478503956,2.13174042314532,291704722031.852,,9.80000019073486,,,,,,,,2.0518275094775,53328357297.4698,,22.3074888773581,60.41,54.0224828934506,1.11105000972748,32.6539611816406,0.0
AUS,1988,79.68,76.4326829268293,73.34,85.493,14.507,1.63614876307642,7.21593968766826,,7.17527293424946,236152526238.564,14284.4292034947,4.04107228004848,231777552765.13,,,,,,,,,,2.16181488266294,43591848613.646,,20.9359104586469,61.37,54.9209723634347,1.07472002506256,31.4995708465576,0.0
AUS,1987,79.44,76.1517073170732,73.02,85.522,14.478,1.52113890433154,8.53302162478083,,7.03296733618987,189487824245.633,11650.8418747976,1.01099434127158,186050820539.968,,10.5,,,,,,,,2.37298883241393,36698650079.4071,,24.1812089474581,58.81,56.3456421073217,1.03919005393982,29.6845893859863,0.0
AUS,1986,79.2,75.8707317073171,72.7,85.552,14.448,1.44650206312761,9.05035054174635,,6.54723414244187,182472020145.495,11391.4367051223,2.47322456533657,179224258533.856,,,,,,,,,,2.54042975157867,35446978175.7135,,27.3465803253478,59.49,55.8831872790978,0.986109972000122,29.5150508880615,0.0
AUS,1985,79.02,75.6292682926829,72.4,85.582,14.418,1.33209683462492,6.73469387755101,32.5,4.68043565324679,180634851530.181,11441.0490196913,3.88513510400308,178141162138.08,,10.8999996185303,,,,,,,,2.52326837870517,34767445520.2596,,24.8343781512626,57.53,54.908022353201,0.944850027561188,27.9107303619385,0.0
AUS,1984,78.84,75.3878048780488,72.1,85.611,14.389,1.20054276571915,3.96039603960395,,7.86280712758955,193517245510.16,12421.3613683719,3.3435773588233,191197038180.66,,11.6999998092651,,,,,,,,2.50523365070013,35447008229.5033,,28.6704877205042,58.44,56.808184047472,0.903389990329742,27.004810333252,0.0
AUS,1983,78.66,75.1463414634146,71.8,85.641,14.359,1.36850145877848,10.0389105058366,,10.1579522307769,177263464407.833,11515.4959458031,-3.55348639457499,175907386270.845,,11.8999996185303,,,,,,,,2.51981181916526,33064348226.2222,,25.0187660648647,61.69,59.0607676469035,0.891040027141571,26.3624591827393,0.0
AUS,1982,78.48,74.9048780487805,71.5,85.67,14.33,1.73374392907748,11.3518197573657,,11.7094683408274,194037294494.097,12778.855250056,1.54890361982196,190343153481.187,,12.1000003814697,,,,,,,,2.39326521613692,34421273309.0588,,30.6341723630904,51.7,56.0663269948139,0.868279993534088,25.6408805847168,0.0
AUS,1981,78.3,74.6634146341463,71.2,85.7,14.3,1.56179416103558,9.48766603415561,31.3,9.52557150568862,176891907581.563,11853.4360174361,1.73808252004829,176304423545.803,,12.1999998092651,,,,,,,,2.29660194471064,31504702194.3574,,30.9855820389911,56.55,56.0046469804472,0.851809978485107,25.5852298736572,0.0
AUS,1980,77.96,74.3336585365854,70.88,85.552,14.448,1.21894271014757,10.1358411703239,,10.0160423468995,149984401114.206,10208.5761716721,1.78726761638859,148418941504.178,,12.3000001907349,,,,,,,,2.24895690403517,25819498607.2423,,34.4300931973302,52.94,55.9092496155589,0.856959998607636,25.1546897888184,0.0
AUS,1979,77.62,74.0039024390244,70.56,85.403,14.597,1.08064227016539,9.12200684150512,,8.63404509075612,134898330114.734,9294.35924726014,2.93167159529241,133256844257.639,,12.1999998092651,,,,,,,,2.19272937103289,23421560831.5347,,33.7723574644005,60.22,56.6471019191417,0.836610019207001,25.0035190582275,
AUS,1978,77.28,73.6741463414634,70.24,85.252,14.748,1.16288525870675,8.00492610837437,,8.2366442478687,118491577918.812,8252.65203501966,-0.273326315810607,117063696770.825,,12.1000003814697,,,,,,,,2.21568856991058,21130610827.4377,,29.4919537078208,62.83,57.8309124483619,0.807810008525848,24.7808399200439,
AUS,1977,76.94,73.3443902439024,69.92,85.1,14.9,1.1266726798225,12.3098201936376,,11.4178161047532,110350997935.306,7775.57764482147,2.43420875294618,109574443679.743,,12.1000003814697,,,,,,,,2.24720220833707,19263592567.1025,,31.7595902340097,54.62,56.6951478109018,0.775200009346008,24.4374294281006,
AUS,1976,76.6,73.0146341463415,69.6,84.947,15.053,1.0026582602274,13.3228840125392,,14.0194989776086,105060650224.271,7486.68497286899,1.56529552731419,105058129242.61,,11.8999996185303,,,,,,,,2.21661210675248,18781313373.1854,,32.6953222064549,55.24,55.7823129251701,0.761229991912842,24.0753002166748,
AUS,1975,76.18,72.6253658536586,69.24,84.792,15.208,1.23118588792285,15.1624548736462,,16.4910961889277,97304383449.406,7003.84247098582,0.0963206425022207,97511948654.9229,,11.8999996185303,,,,,,,,2.26731559253735,16338932131.64,,35.6423023743124,51.62,55.8745930167284,0.702859997749329,23.2816009521484,
AUS,1974,75.76,72.2360975609756,68.88,84.636,15.364,2.53122025874137,15.4166666666667,,16.3781264345529,88963890935.888,6482.83108182526,1.50486769957328,88657332350.7738,,12.0,,,,,,,,2.26280269948392,12851879145.1732,,34.5433057090814,47.35,53.5071733872304,0.652310013771057,21.8173503875732,
